alto_cm,categoria_Escultura,categoria_Pintura,categoria_Ilustración,categoria_Fotografía,peso_kg,material_Tabla de madera,ancho_cm,tecnica_Técnica mixta,es_original,con_certificado,material_Lienzo,precio_base
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,10750.0
58.38,0,0,0,1,0.0,0,32.94,0,0,0,0,1850.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,7300.0
30.53,0,0,0,0,1.61,0,23.93,0,1,0,0,4750.0
50.09,0,0,0,0,3.2,0,33.91,0,1,0,0,4500.0
41.32,0,0,0,0,3.34,0,43.86,0,1,1,0,2950.0
54.4,0,0,0,0,2.58,0,28.21,0,1,0,0,5200.0
62.67,0,0,0,0,0.0,0,47.9,0,0,0,0,1900.0
28.0,0,0,0,0,1.35,0,23.63,0,1,1,0,3850.0
10.94,0,0,0,0,0.52,0,17.69,0,1,0,0,2800.0
43.9,0,0,0,0,3.36,0,43.25,0,1,0,0,3050.0
20.4,0,0,0,0,1.08,0,27.43,0,1,1,0,2600.0
26.86,0,0,0,0,1.84,0,19.03,0,1,0,0,4000.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,4650.0
33.55,0,0,0,0,1.3,0,18.01,0,1,1,0,5100.0
47.91,0,0,1,0,0.0,0,28.12,0,1,0,0,3450.0
24.37,0,0,0,1,0.0,0,21.29,0,1,1,0,3050.0
48.76,0,0,1,0,0.0,0,34.67,0,1,0,0,3500.0
46.5,0,0,1,0,0.0,0,36.28,0,1,1,0,3050.0
63.59,0,0,1,0,0.0,0,51.6,0,1,0,0,3100.0
49.01,0,0,1,0,0.0,0,39.06,0,0,1,0,2200.0
26.73,0,0,1,0,0.0,0,17.24,0,1,0,0,3150.0
53.26,0,0,0,1,0.0,0,33.98,0,0,1,0,2100.0
27.78,0,0,0,0,1.67,0,27.27,0,1,0,0,4700.0
8.33,0,0,0,0,0.68,0,11.82,0,1,1,0,3000.0
67.28,0,0,0,0,0.0,0,57.96,0,1,0,0,5500.0
28.82,0,0,0,1,0.0,0,23.67,0,0,0,0,2200.0
40.54,0,0,0,0,3.26,0,31.82,0,1,1,0,5900.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,9550.0
11.46,0,0,0,0,0.66,0,17.25,0,1,0,0,3050.0
41.37,0,0,0,0,3.85,0,39.78,0,1,1,0,5450.0
14.85,0,0,0,0,0.73,0,10.22,0,1,0,0,3850.0
47.83,0,0,0,0,3.95,0,30.02,0,0,0,0,2500.0
22.2,0,0,0,0,1.03,0,22.07,0,1,1,0,4350.0
46.43,0,0,0,0,0.0,0,43.26,0,1,0,0,2650.0
63.94,0,0,0,0,0.0,0,48.41,0,1,0,0,3400.0
64.55,0,0,0,0,0.0,0,53.0,0,1,1,0,3900.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,7200.0
26.08,0,0,1,0,0.0,0,21.15,0,1,0,0,2900.0
64.62,0,0,0,0,0.0,0,47.85,0,0,1,0,2900.0
26.2,0,0,0,0,0.0,0,24.97,0,1,0,0,2050.0
38.05,0,0,0,0,3.18,0,42.73,0,1,0,0,2900.0
68.73,0,0,0,0,0.0,0,47.47,0,0,1,0,2750.0
46.14,0,0,0,0,0.0,0,31.94,0,1,0,0,3550.0
40.0,0,1,0,0,0.0,1,30.0,0,1,0,0,4300.0
21.41,0,0,0,0,0.81,0,29.75,0,1,1,0,3050.0
29.47,0,0,0,1,0.0,0,20.78,0,1,0,0,3550.0
80.0,1,0,0,0,0.0,0,60.0,0,1,1,0,7100.0
23.2,0,0,0,1,0.0,0,24.86,0,1,0,0,1850.0
82.89,0,0,0,1,0.0,0,65.27,0,1,0,0,4500.0
41.25,0,0,0,1,0.0,0,32.64,0,1,1,0,2200.0
26.35,0,0,0,1,0.0,0,15.7,0,1,0,0,2800.0
20.71,0,0,0,1,0.0,0,17.94,0,1,1,0,2050.0
41.18,0,0,0,0,3.07,0,39.79,0,1,0,0,2950.0
27.15,0,0,0,1,0.0,0,20.31,0,1,1,0,3550.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,4700.0
80.0,0,1,0,0,0.0,0,60.0,0,1,1,0,8600.0
120.0,0,1,0,0,0.0,0,100.0,0,0,0,1,4350.0
27.96,0,0,1,0,0.0,0,23.32,0,1,0,0,3450.0
40.0,0,1,0,0,0.0,1,30.0,0,1,0,0,3950.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,4850.0
120.0,0,1,0,0,0.0,0,100.0,0,1,1,0,8850.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,8050.0
28.32,0,0,0,1,0.0,0,16.56,0,1,1,0,3150.0
29.1,0,0,0,1,0.0,0,20.79,0,1,0,0,3750.0
43.91,0,0,0,1,0.0,0,40.57,0,1,0,0,2000.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,4350.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,5150.0
68.06,0,0,0,0,0.0,0,46.71,0,0,1,0,3300.0
58.76,0,0,0,0,0.0,0,59.75,0,1,0,0,3550.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,8050.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,5250.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,6350.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,6550.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,9750.0
26.57,0,0,0,0,1.11,0,30.64,0,1,0,0,3100.0
49.24,0,0,0,0,1.74,0,33.11,0,1,0,0,3500.0
29.71,0,0,0,0,0.53,0,24.6,0,1,1,0,3700.0
33.14,0,0,0,0,1.64,0,35.06,0,1,0,0,2750.0
32.3,0,0,0,0,0.7,0,25.57,0,1,0,0,5100.0
50.07,0,0,0,0,1.99,0,43.76,0,1,1,0,4150.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4600.0
52.73,0,0,0,0,3.76,0,34.99,0,1,0,0,5050.0
10.55,0,0,0,0,0.46,0,14.15,0,1,0,0,2300.0
33.71,0,0,0,0,1.03,0,20.84,0,1,0,0,4650.0
24.92,0,0,0,0,1.62,0,21.86,0,1,1,0,2900.0
49.45,0,0,1,0,0.0,0,32.12,0,0,1,0,2050.0
61.2,0,0,1,0,0.0,0,54.17,0,0,0,0,1950.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,8700.0
36.85,0,0,1,0,0.0,0,36.88,0,1,0,0,1900.0
47.36,0,0,1,0,0.0,0,30.08,0,0,1,0,2000.0
28.71,0,0,1,0,0.0,0,22.29,0,0,0,0,1900.0
58.59,0,0,1,0,0.0,0,53.39,0,1,0,0,2750.0
44.7,0,0,0,0,3.2,0,31.8,0,1,1,0,5600.0
26.21,0,0,0,0,1.04,0,25.43,0,1,0,0,4450.0
44.01,0,0,0,0,1.64,0,34.84,0,1,0,0,6150.0
22.61,0,0,0,0,1.64,0,18.87,0,1,1,0,4350.0
23.91,0,0,0,0,1.66,0,24.71,0,0,0,0,2250.0
27.24,0,0,0,0,0.71,0,21.58,0,1,0,0,5200.0
25.36,0,0,0,0,0.68,0,25.51,0,1,1,0,4400.0
19.99,0,0,0,0,0.77,0,19.69,0,1,0,0,3100.0
11.44,0,0,0,0,0.45,0,14.63,0,1,0,0,2900.0
26.85,0,0,0,0,1.63,0,16.02,0,1,1,0,4800.0
61.04,0,0,0,0,0.0,0,55.06,0,0,0,0,1800.0
44.78,0,0,0,0,3.02,0,32.1,0,1,0,0,4900.0
43.15,0,0,0,0,2.88,0,36.6,0,1,1,0,6450.0
34.44,0,0,0,0,0.0,0,25.63,0,1,0,0,3800.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,6850.0
62.54,0,0,0,0,0.0,0,47.12,0,0,1,0,2600.0
47.8,0,0,0,0,0.0,0,36.25,0,0,0,0,1800.0
88.15,0,0,0,1,0.0,0,52.05,0,1,0,0,4550.0
66.3,0,0,0,0,0.0,0,46.22,0,0,1,0,3050.0
64.83,0,0,0,0,0.0,0,57.4,0,0,0,0,2450.0
30.13,0,0,0,0,0.0,0,20.99,0,1,0,0,3650.0
68.07,0,0,0,0,0.0,0,53.07,0,0,1,0,2900.0
60.85,0,0,0,0,0.0,0,45.99,0,0,0,0,2050.0
30.65,0,0,0,0,0.0,0,24.02,0,0,0,0,2200.0
31.57,0,0,0,0,0.0,0,20.75,0,0,1,0,2400.0
24.62,0,0,0,0,1.66,0,23.32,0,1,0,0,4000.0
28.4,0,0,0,1,0.0,0,21.64,0,0,0,0,1950.0
37.07,0,0,1,0,0.0,0,35.8,0,1,1,0,2250.0
53.64,0,0,1,0,0.0,0,42.94,0,1,0,0,2250.0
74.31,0,0,0,1,0.0,0,60.79,0,0,0,0,1900.0
44.85,0,0,0,1,0.0,0,45.06,0,1,1,0,2300.0
28.27,0,0,0,1,0.0,0,20.06,0,0,0,0,2050.0
87.61,0,0,0,1,0.0,0,67.47,0,0,0,0,2300.0
51.42,0,0,0,1,0.0,0,40.7,0,0,1,0,1850.0
41.46,0,0,0,0,2.54,0,27.33,0,1,0,0,5350.0
40.0,0,1,0,0,0.0,0,30.0,0,1,1,0,4750.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,6350.0
120.0,0,1,0,0,0.0,1,100.0,0,1,0,0,8950.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,8200.0
57.79,0,0,1,0,0.0,0,48.72,0,1,0,0,2450.0
80.0,0,1,0,0,0.0,0,60.0,0,1,1,0,8300.0
40.0,0,1,0,0,0.0,0,30.0,0,1,1,0,5550.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,4550.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,8550.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,8350.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,5600.0
49.98,0,0,0,0,2.14,0,44.66,0,1,0,0,5000.0
80.0,0,1,0,0,0.0,0,60.0,0,1,1,0,5900.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,7000.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,7800.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,6250.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,7100.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,6800.0
41.68,0,0,0,0,3.63,0,37.49,0,1,0,0,2900.0
28.51,0,0,0,0,1.35,0,29.9,0,0,1,0,2150.0
16.98,0,0,0,0,0.43,0,17.84,0,1,0,0,4150.0
19.89,0,0,0,0,0.59,0,14.89,0,1,0,0,4800.0
11.84,0,0,0,0,0.32,0,18.91,0,1,1,0,3050.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,4300.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,3700.0
13.53,0,0,0,0,0.77,0,14.46,0,1,1,0,3150.0
22.08,0,0,0,1,0.0,0,17.41,0,1,0,0,1900.0
28.88,0,0,0,0,1.31,0,22.55,0,1,1,0,4300.0
41.35,0,0,1,0,0.0,0,28.32,0,1,0,0,2050.0
58.92,0,0,1,0,0.0,0,43.93,0,1,0,0,2250.0
45.2,0,0,1,0,0.0,0,39.75,0,1,1,0,3700.0
62.75,0,0,0,0,0.0,0,48.85,0,0,0,0,1800.0
59.82,0,0,1,0,0.0,0,59.57,0,0,0,0,1850.0
120.0,0,1,0,0,0.0,1,100.0,0,1,1,0,8200.0
45.05,0,0,1,0,0.0,0,37.39,0,1,1,0,3050.0
43.58,0,0,1,0,0.0,0,36.53,0,1,0,0,2800.0
11.11,0,0,0,0,0.32,0,8.89,0,1,0,0,3400.0
30.92,0,0,0,0,0.0,0,20.97,0,0,1,0,1800.0
26.54,0,0,0,0,1.48,0,19.57,0,1,0,0,4800.0
10.19,0,0,0,0,0.77,0,12.32,0,1,1,0,4100.0
30.91,0,0,0,0,2.17,0,34.69,0,1,0,0,2550.0
19.72,0,0,0,0,1.93,0,23.34,0,1,1,0,3600.0
41.28,0,0,0,0,1.64,0,32.87,0,1,0,0,5250.0
19.63,0,0,0,0,0.98,0,21.04,0,1,0,0,2900.0
33.4,0,0,0,0,2.02,0,31.78,0,1,1,0,3150.0
37.05,0,0,1,0,0.0,0,32.24,0,1,0,0,1800.0
22.22,0,0,0,0,1.76,0,26.32,0,1,1,0,3650.0
28.62,0,0,0,0,0.0,0,26.74,0,1,0,0,2300.0
23.07,0,0,0,1,0.0,0,16.82,0,1,0,0,1950.0
33.16,0,0,0,0,0.0,0,25.18,0,0,1,0,2750.0
25.92,0,0,0,1,0.0,0,20.59,0,1,0,0,2800.0
46.73,0,0,0,0,0.0,0,39.0,0,0,0,0,2000.0
43.29,0,0,0,1,0.0,0,36.14,0,1,0,0,1800.0
40.0,0,1,0,0,0.0,0,30.0,0,1,1,0,6850.0
33.46,0,0,0,0,0.0,0,20.96,0,1,0,0,3500.0
53.78,0,0,0,0,0.0,0,40.53,0,1,0,0,4050.0
11.6,0,0,0,0,0.8,0,8.82,0,1,1,0,3800.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,5250.0
53.81,0,0,0,1,0.0,0,43.51,0,0,0,0,2000.0
82.93,0,0,0,1,0.0,0,51.04,0,1,1,0,4000.0
21.2,0,0,0,1,0.0,0,21.5,0,1,0,0,2000.0
72.88,0,0,0,1,0.0,0,63.99,0,1,1,0,3200.0
86.8,0,0,0,1,0.0,0,54.09,0,1,0,0,3400.0
54.39,0,0,0,1,0.0,0,49.12,0,1,0,0,2900.0
57.75,0,0,0,1,0.0,0,40.2,0,0,1,0,2000.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,5850.0
42.42,0,0,0,1,0.0,0,46.44,0,1,0,0,2100.0
48.67,0,0,0,1,0.0,0,49.12,0,0,1,0,1850.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,4200.0
80.0,0,1,0,0,0.0,1,60.0,0,1,0,0,5650.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,7300.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,3900.0
72.77,0,0,0,1,0.0,0,58.52,0,1,0,0,3150.0
80.0,1,0,0,0,0.0,0,60.0,0,1,1,0,8350.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,10350.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4650.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,1,6150.0
120.0,1,0,0,0,0.0,0,100.0,0,1,1,0,6600.0
25.08,0,0,0,0,0.89,0,22.52,0,0,0,0,2400.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,6900.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,6250.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,7750.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,9250.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,10450.0
15.76,0,0,0,0,0.73,0,17.61,0,1,0,0,5600.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4350.0
80.0,1,0,0,0,0.0,0,60.0,0,1,1,0,7100.0
21.48,0,0,0,0,1.12,0,23.88,0,1,0,0,3450.0
63.67,0,0,0,0,0.0,0,49.06,0,1,0,0,4350.0
120.0,1,0,0,0,0.0,0,100.0,0,1,1,0,7000.0
43.19,0,0,1,0,0.0,0,35.72,0,1,0,0,2400.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,10750.0
24.37,0,0,0,0,1.52,0,26.85,0,1,0,0,3250.0
52.58,0,0,0,0,3.35,0,44.29,0,1,0,0,5000.0
20.25,0,0,0,0,1.29,0,29.85,0,1,1,0,2900.0
52.29,0,0,0,0,2.35,0,42.27,0,1,0,0,5100.0
32.33,0,0,0,0,1.51,0,29.75,0,1,0,0,4950.0
53.95,0,0,0,0,0.0,0,39.3,0,0,1,0,2850.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,4200.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,7150.0
120.0,0,1,0,0,0.0,0,100.0,0,1,1,0,7750.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,4150.0
80.0,0,1,0,0,0.0,0,60.0,0,1,1,0,6950.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,8600.0
40.0,0,1,0,0,0.0,0,30.0,0,1,1,1,4150.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,4650.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,8750.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,4550.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,0,5250.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,1,6550.0
80.0,0,1,0,0,0.0,0,60.0,0,1,1,0,6400.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,8650.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,4850.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,4950.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,10450.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,5200.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,5500.0
120.0,1,0,0,0,0.0,0,100.0,0,1,1,0,6250.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,6600.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,5350.0
80.0,1,0,0,0,0.0,0,60.0,0,1,1,0,5000.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,5600.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,8800.0
40.0,1,0,0,0,0.0,0,30.0,0,1,1,0,6500.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,3950.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,6600.0
200.0,1,0,0,0,0.0,0,150.0,0,1,1,0,9250.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4800.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,5450.0
120.0,1,0,0,0,0.0,0,100.0,0,1,1,0,9400.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,6650.0
82.77,0,0,0,1,0.0,0,55.71,0,0,0,0,2450.0
28.84,0,0,0,1,0.0,0,16.29,0,1,0,0,3800.0
28.72,0,0,0,1,0.0,0,21.51,0,1,0,0,3350.0
83.73,0,0,0,1,0.0,0,63.44,0,0,0,0,1950.0
55.35,0,0,0,1,0.0,0,30.05,0,1,0,0,3750.0
29.6,0,0,0,1,0.0,0,18.5,0,1,0,0,3400.0
86.26,0,0,0,1,0.0,0,67.75,0,0,0,0,2750.0
77.01,0,0,0,1,0.0,0,69.51,0,0,0,0,1900.0
46.64,0,0,0,1,0.0,0,40.4,0,1,0,0,2550.0
56.77,0,0,0,1,0.0,0,34.09,0,1,0,0,4200.0
63.38,0,0,0,1,0.0,0,68.72,0,1,0,0,2550.0
69.49,0,0,0,1,0.0,0,58.45,0,1,0,0,2400.0
80.0,0,1,0,0,0.0,0,60.0,0,1,0,1,8100.0
70.0,0,1,0,0,0.0,0,50.0,0,1,0,0,4350.0
60.0,0,1,0,0,0.0,1,45.0,0,1,0,0,8800.0
100.0,0,1,0,0,0.0,0,80.0,0,0,0,1,3000.0
55.0,0,1,0,0,0.0,0,45.0,0,1,0,0,6800.0
90.0,0,1,0,0,0.0,0,70.0,0,1,0,1,7000.0
50.0,0,1,0,0,0.0,1,40.0,0,1,0,0,6550.0
120.0,0,1,0,0,0.0,0,90.0,0,1,0,0,6700.0
65.0,0,1,0,0,0.0,0,50.0,0,0,0,1,2550.0
85.0,0,1,0,0,0.0,0,65.0,1,1,0,0,5450.0
75.0,0,1,0,0,0.0,0,60.0,0,1,0,1,9400.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,7000.0
70.0,0,1,0,0,0.0,1,55.0,0,1,0,0,8650.0
60.0,0,1,0,0,0.0,0,50.0,0,1,0,0,4750.0
80.0,0,1,0,0,0.0,0,65.0,0,1,0,1,3700.0
35.0,0,1,0,0,0.0,0,25.0,0,1,0,0,3400.0
95.0,0,1,0,0,0.0,0,75.0,0,1,0,1,10300.0
50.0,0,1,0,0,0.0,0,50.0,1,1,0,0,5250.0
45.0,0,1,0,0,0.0,0,35.0,0,0,0,0,3600.0
110.0,0,1,0,0,0.0,0,85.0,0,1,0,1,8600.0
45.0,1,0,0,0,0.0,0,30.0,0,1,0,0,7650.0
35.0,1,0,0,0,0.0,0,20.0,0,1,0,0,4900.0
60.0,1,0,0,0,0.0,0,25.0,0,1,0,0,4150.0
50.0,1,0,0,0,0.0,0,35.0,0,1,0,0,3700.0
25.0,1,0,0,0,0.0,0,18.0,0,1,0,0,7350.0
70.0,1,0,0,0,0.0,0,30.0,0,1,0,0,7600.0
40.0,1,0,0,0,0.0,0,22.0,0,1,0,0,5300.0
30.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4000.0
50.0,1,0,0,0,0.0,0,35.0,0,1,0,0,6600.0
20.0,1,0,0,0,0.0,0,30.0,0,1,0,0,5900.0
40.0,1,0,0,0,0.0,0,40.0,0,1,0,0,5150.0
30.0,1,0,0,0,0.0,0,15.0,0,1,0,0,7300.0
35.0,1,0,0,0,0.0,0,55.0,0,1,0,0,4850.0
15.0,1,0,0,0,0.0,0,12.0,0,1,0,0,4550.0
80.0,1,0,0,0,0.0,0,20.0,0,1,0,0,7750.0
50.0,0,0,0,0,0.0,0,40.0,0,1,0,0,2250.0
40.0,0,0,0,0,0.0,0,30.0,0,0,0,0,1850.0
55.0,0,0,0,0,0.0,0,42.0,0,0,0,0,2250.0
45.0,0,0,0,0,0.0,0,35.0,0,1,0,0,3550.0
50.0,0,0,0,0,0.0,0,40.0,0,1,0,0,4250.0
35.0,0,0,0,0,0.0,0,28.0,0,0,0,0,2000.0
50.0,0,0,0,0,0.0,0,50.0,0,1,0,0,3700.0
45.0,0,0,0,0,0.0,0,35.0,0,1,0,0,2050.0
55.0,0,0,0,0,0.0,0,42.0,0,1,0,0,3750.0
40.0,0,0,0,0,0.0,0,30.0,0,0,0,0,2550.0
48.0,0,0,0,0,0.0,0,38.0,0,0,0,0,2350.0
50.0,0,0,0,0,0.0,0,40.0,0,1,0,0,5200.0
40.0,0,0,1,0,0.0,0,30.0,0,1,0,0,2100.0
35.0,0,0,1,0,0.0,0,35.0,0,1,0,0,1900.0
45.0,0,0,1,0,0.0,0,30.0,0,1,0,0,3500.0
55.0,0,0,1,0,0.0,0,40.0,0,1,0,0,2700.0
45.0,0,0,1,0,0.0,0,35.0,0,1,0,0,2150.0
40.0,0,0,1,0,0.0,0,30.0,0,0,0,0,1850.0
50.0,0,0,1,0,0.0,0,40.0,0,0,0,0,1800.0
45.0,0,0,1,0,0.0,0,35.0,0,1,0,0,2400.0
35.0,0,0,1,0,0.0,0,25.0,0,0,0,0,1900.0
40.0,0,0,1,0,0.0,0,30.0,0,1,0,0,2400.0
31.77,0,0,0,0,1.79,0,22.58,0,1,0,0,4700.0
15.87,0,0,0,0,0.9,0,12.64,0,1,0,0,3900.0
19.62,0,0,0,0,0.42,0,16.76,0,1,0,0,4100.0
34.05,0,0,0,0,0.92,0,24.22,0,1,0,0,4800.0
17.63,0,0,0,0,0.76,0,16.18,0,1,0,0,3600.0
14.8,0,0,0,0,0.41,0,15.52,0,0,0,0,2050.0
43.03,0,0,0,0,3.18,0,44.18,0,1,0,0,3450.0
19.43,0,0,0,0,0.58,0,18.98,0,1,0,0,5600.0
19.83,0,0,0,0,0.61,0,18.97,0,1,0,0,4400.0
10.35,0,0,0,0,0.64,0,14.35,0,1,0,0,2150.0
